id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
1,48,FEMALE,INNER_CITY,17546,NO,1,NO,NO,NO,NO,YES
2,40,MALE,TOWN,30085.1,YES,3,YES,NO,YES,YES,NO
3,51,FEMALE,INNER_CITY,16575.4,YES,0,YES,YES,YES,NO,NO
4,23,FEMALE,TOWN,20375.4,YES,3,NO,NO,YES,NO,NO
5,57,FEMALE,RURAL,50576.3,YES,0,NO,YES,NO,NO,NO
6,57,FEMALE,TOWN,37869.6,YES,2,NO,YES,YES,NO,YES
7,22,MALE,RURAL,8877.07,NO,0,NO,NO,YES,NO,YES
8,58,MALE,TOWN,24946.6,YES,0,YES,YES,YES,NO,NO
9,37,FEMALE,SUBURBAN,25304.3,YES,2,YES,NO,NO,NO,NO
10,54,MALE,TOWN,24212.1,YES,2,YES,YES,YES,NO,NO
11,66,FEMALE,TOWN,59803.9,YES,0,NO,YES,YES,NO,NO
12,52,FEMALE,INNER_CITY,26658.8,NO,0,YES,YES,YES,YES,NO
13,44,FEMALE,TOWN,15735.8,YES,1,NO,YES,YES,YES,YES
14,66,FEMALE,TOWN,55204.7,YES,1,YES,YES,YES,YES,YES
15,36,MALE,RURAL,19474.6,YES,0,NO,YES,YES,YES,NO
16,38,FEMALE,INNER_CITY,22342.1,YES,0,YES,YES,YES,YES,NO
17,37,FEMALE,TOWN,17729.8,YES,2,NO,NO,NO,YES,NO
18,46,FEMALE,SUBURBAN,41016,YES,0,NO,YES,NO,YES,NO
19,62,FEMALE,INNER_CITY,26909.2,YES,0,NO,YES,NO,NO,YES
20,31,MALE,TOWN,22522.8,YES,0,YES,YES,YES,NO,NO
21,61,MALE,INNER_CITY,57880.7,YES,2,NO,YES,NO,NO,YES
22,50,MALE,TOWN,16497.3,YES,2,NO,YES,YES,NO,NO
23,54,MALE,INNER_CITY,38446.6,YES,0,NO,YES,YES,NO,NO
24,27,FEMALE,TOWN,15538.8,NO,0,YES,YES,YES,YES,NO
25,22,MALE,INNER_CITY,12640.3,NO,2,YES,YES,YES,NO,NO
26,56,MALE,INNER_CITY,41034,YES,0,YES,YES,YES,YES,NO
27,45,MALE,INNER_CITY,20809.7,YES,0,NO,YES,YES,YES,NO
28,39,FEMALE,TOWN,20114,YES,1,NO,NO,YES,NO,YES
29,39,FEMALE,INNER_CITY,29359.1,NO,3,YES,NO,YES,YES,NO
30,61,MALE,RURAL,24270.1,YES,1,NO,NO,YES,NO,YES
